World Rank,National Rank,Name,Image URLs,Affiliation,Country,D-Index,Citations,Publications
542,301,Katsushi Ikeuchi,https://s.research.com/images/e6cc52a8f6d28364e9aec090ad889717a4152f56-65x65.jpeg,Microsoft (United States),United States,90,27895,832
543,62,Qionghai Dai,https://s.research.com/images/55e2e484a8532b3392c5f7beefc4854dfc05ba62-65x65.jpeg,Tsinghua University,China,90,27861,733
544,36,Zahir Irani,https://s.research.com/images/18b56d6ed0d6a5fffb03bcf9f1fc9bb881e6e6db-65x65.png,University of Bradford,United Kingdom,90,27268,336
545,20,Baochun Li,https://s.research.com/images/83c15a5697ced728110c6827514e8edb6535e2ab-65x65.jpeg,University of Toronto,Canada,90,27112,446
546,302,Meikang Qiu,https://s.research.com/images/c57fcf49d8a9b242c46a0b54dec50e65cef14a75-65x65.jpeg,Augusta University,United States,90,20950,509
547,303,Richard Socher,https://s.research.com/images/e3b2e4cdaafe7d83c3219706473e6504e7a4698b-65x65.jpeg,you.com,United States,89,153361,212
548,304,Robert E. Schapire,https://s.research.com/images/9562e074eeb89195d765bf668b917fc9a84c768a-65x65.jpeg,Microsoft (United States),United States,89,143220,222
549,305,Kyunghyun Cho,https://s.research.com/images/8cf5b57b5bf2ab9af71aba11d1c9ae8cf17f6001-65x65.jpeg,New York University,United States,89,125711,305
550,306,Yi Ma,https://s.research.com/images/d05cc51ea796841582bf7b53df60412c4b2337b2-65x65.jpeg,"University of California, Berkeley",United States,89,75643,259
551,307,Silvio Micali,https://s.research.com/images/59fba9008c9261f6d4c154e6da8af6dc61c17750-65x65.jpeg,MIT,United States,89,65331,214
552,308,Dorin Comaniciu,https://s.research.com/images/24fa58f4ea526f66e7fb9ad697dbf10298454f72-65x65.jpeg,Siemens (United States),United States,89,57484,602
553,309,Michael Mitzenmacher,https://s.research.com/images/5484f2324f76e5ac9a1779af1ba154928ec1f78a-65x65.png,Harvard University,United States,89,51436,385
554,310,Norman P. Jouppi,https://s.research.com/images/02ddefde760e11b260b326a5719fbbfc484983a4-65x65.jpeg,Google (United States),United States,89,42195,259
555,63,Yong Yu,https://s.research.com/images/172282d272a0391ce9aeba89cea3597907d1a3b0-65x65.jpeg,Shanghai Jiao Tong University,China,89,40981,436
556,311,Haibo He,https://s.research.com/images/2ec3526ad61c90c4ff6cfccaf15e81b8be9772e0-65x65.jpeg,University of Rhode Island,United States,89,39994,513
557,312,Yun Fu,https://s.research.com/images/7d0a8093756330ce80d2efd60708d96dee36ecc0-65x65.jpeg,Northeastern University,United States,89,38638,517
558,9,Fatih Porikli,https://s.research.com/images/3f1d94bc58554aeed9f546e46b4b465dc76a38c1-65x65.jpeg,Australian National University,Australia,89,37720,463
559,313,Graham Neubig,https://s.research.com/images/8f846fc5a8a345b1b4ca63bc32bb819ec52f1fdb-65x65.jpeg,Carnegie Mellon University,United States,89,34022,559
560,64,Jie Zhou,https://s.research.com/images/1d1c1910c4a3ee7223a449686996c431e4b0e306-65x65.jpeg,Tsinghua University,China,89,32624,641
561,314,Nirwan Ansari,https://s.research.com/images/ea4c961cc6c497d694eb2908de90939955f5fe02-65x65.jpeg,New Jersey Institute of Technology,United States,89,30827,738
562,65,Xingyuan Wang,https://s.research.com/website/15633335635/images/placeholder-scholar.svg,Dalian University of Technology,China,89,28470,489
563,19,Nadia Magnenat-Thalmann,https://s.research.com/images/fe98a45b6fa66487ffb53392e73aaaf3cb98564f-65x65.jpeg,University of Geneva,Switzerland,89,27580,903
564,10,David Peleg,https://s.research.com/images/de3f9d038e1eff938ac4978f1f7812242c6776e6-65x65.jpeg,Weizmann Institute of Science,Israel,89,27029,452
565,3,Muhammad Khurram Khan,https://s.research.com/images/6d28e15392b3427bc806a7d462434a16888e45bb-65x65.jpeg,King Saud University,Saudi Arabia,89,25795,468
566,2,Hamido Fujita,https://s.research.com/images/1e3c461ed9ea01e55f2b14755ffeac72b647c45a-65x65.jpeg,University of Technology Malaysia,Malaysia,89,25763,490
567,6,Juan M. Corchado,https://s.research.com/images/baba3654ffc1fd17fa7f593698c0f0683f74686d-65x65.jpeg,University of Salamanca,Spain,89,24923,863
568,315,Gregory R. Ganger,https://s.research.com/images/aa06fc372f67e09eb0e386cd4197926dc4ab2571-65x65.png,Carnegie Mellon University,United States,89,23759,320
569,2,Andrea Massa,https://s.research.com/images/14c613fb70aa9953cd5107e734f02c7d93eec47e-65x65.jpeg,University of Trento,Italy,89,23470,744
570,1,Peter Corcoran,https://s.research.com/images/ee566c167a1686311790bf29e127b5cbc408b2ac-65x65.jpeg,"National University of Ireland, Galway",Ireland,89,19554,511
571,316,Donald A. Norman,https://s.research.com/images/c29bd6a75de5ec5cacbac02d7243fce407f326b0-65x65.jpeg,"University of California, San Diego",United States,88,108288,246
572,317,Kai Li,https://s.research.com/images/1a3f0c4d7c93bf96e3312a34d897b151f7b04925-65x65.gif,Princeton University,United States,88,97511,215
573,10,Richard Hartley,https://s.research.com/images/a2eb08b356a3f29147d547f3d5d8926637248b6e-65x65.jpeg,Australian National University,Australia,88,78005,394
574,318,Prabhakar Raghavan,https://s.research.com/images/c484aad486fe0080f14b85ac917043ffa1a248ea-65x65.png,Google (United States),United States,88,77382,256
575,319,John Canny,https://s.research.com/images/c57c1e8955c6b361b2414afe07cf489024f0f7f9-65x65.jpeg,"University of California, Berkeley",United States,88,72819,319
576,66,Dong Yu,https://s.research.com/images/3b6ba7ddc49c317f7984565086adef34c4187376-65x65.jpeg,Tencent (China),China,88,60182,378
577,320,Edward H. Adelson,https://s.research.com/images/eae69a4f2ce26dbe9770c0d8e4aa41edadb1acda-65x65.jpeg,MIT,United States,88,58536,250
578,321,Pedro Domingos,https://s.research.com/images/730c34e500ace16a3d4e48ae39e1742c24cef249-65x65.jpeg,University of Washington,United States,88,54759,213
579,322,Patrick McDaniel,https://s.research.com/images/0afefdff08d8922050fa64dc1fa9484e24f1447f-65x65.jpeg,University of Wisconsin–Madison,United States,88,52892,303
580,323,Ran Canetti,https://s.research.com/images/c9c7c86eaa0fd7f6f439a9d6db609539335aeedd-65x65.jpeg,Boston University,United States,88,48755,282
581,2,Mehdi Bennis,https://s.research.com/images/79a6716ef0051b1133748b41f4d09e4b6e8e2633-65x65.jpeg,University of Oulu,Finland,88,45369,568
582,324,Somesh Jha,https://s.research.com/images/a0a1f45db462568cf828deac54e8b2a02ec57de3-65x65.jpeg,University of Wisconsin–Madison,United States,88,44413,359
583,325,Ge Wang,https://s.research.com/images/1e940bfa0ea87ca4c0ca0862ad079292c0587ba1-65x65.jpeg,Rensselaer Polytechnic Institute,United States,88,44274,771
584,326,Michael A. Arbib,https://s.research.com/images/b5e5e969f0289075e6f8fd5966aaed73871e93c4-65x65.jpeg,University of Southern California,United States,88,44031,470
585,327,Victor R. Basili,https://s.research.com/images/e01f8eea73f2d8e37129041b87b8cb474df0ca8d-65x65.jpeg,"University of Maryland, College Park",United States,88,42484,464
586,328,Rafail Ostrovsky,https://s.research.com/images/ae9bc8bfee9283eb5c288ba3a149f5c6c64680f7-65x65.jpeg,"University of California, Los Angeles",United States,88,40752,422
587,11,Chau Yuen,https://s.research.com/images/2a24c9de5aefc145e33bc0410c4ca066cd26bca4-65x65.jpeg,Nanyang Technological University,Singapore,88,39806,681
588,67,Xiangnan He,https://s.research.com/images/19da84a172d50aa94aa09223ffca58349c52cb00-65x65.jpeg,University of Science and Technology of China,China,88,39606,288
589,329,Louis-Philippe Morency,https://s.research.com/images/f2d627cd7b39fe1ee45f4c367780dc7e29465956-65x65.jpeg,Carnegie Mellon University,United States,88,36003,418
590,68,Hongsheng Li,https://s.research.com/images/50c8b5b9493aa4953c79a4a4d8d5f500b6bb5ef1-65x65.jpeg,Chinese University of Hong Kong,China,88,35795,306
591,330,Simon Jones,https://s.research.com/images/697420b19f0121893c2c6f673975b463a7b963fe-65x65.jpeg,Microsoft (United States),United States,88,35196,599
592,331,Douglas C. Schmidt,https://s.research.com/images/8741583e8f91c17359c4b41f35db7c4a6aaf40dc-65x65.jpeg,William & Mary,United States,88,34897,552
593,332,Hui Xiong,https://s.research.com/images/0501c9ef4c94ee89f47173cd9a7d3e3ff12cd929-65x65.jpeg,"Rutgers, The State University of New Jersey",United States,88,34079,472
594,69,Shi Jin,https://s.research.com/images/6022b5a98697a4746c23e12201c9e77c4fd10325-65x65.jpeg,Southeast University,China,88,32257,703
595,70,Jieping Ye,https://s.research.com/website/15633335635/images/placeholder-scholar.svg,Alibaba Group (China),China,88,30299,372
596,12,Weisi Lin,https://s.research.com/images/04579c21dc942415d7e0f6f049963531ca8bbc27-65x65.jpeg,Nanyang Technological University,Singapore,88,28791,630
597,3,Nei Kato,https://s.research.com/images/2cf8723104df03555e58333a6e40243ed938bbab-65x65.jpeg,Tohoku University,Japan,88,27823,572
598,71,Xian-Sheng Hua,https://s.research.com/images/6918bf0d73264fea32846d55d56c17c684cc14ed-65x65.jpeg,Alibaba Group (China),China,88,27466,583
599,72,Jeffrey Xu Yu,https://s.research.com/images/f7eb09be1dda4128b914aaa1f04b25b7125b384e-65x65.jpeg,Chinese University of Hong Kong,China,88,25869,565
600,73,Jianbing Shen,https://s.research.com/images/6970ee905505463d551ab21cfe8985227a556949-65x65.jpeg,University of Macau,China,88,24823,262
601,3,Massimiliano Di Penta,https://s.research.com/images/d59d7b04e80fac2c0689a03bf31afc011b24a51d-65x65.jpeg,University of Sannio,Italy,88,23806,370
602,333,Jeffrey Dean,https://s.research.com/images/ca977182da8fcce7af470069f0135123eb3fb230-65x65.jpeg,Google (United States),United States,87,223821,230
603,334,Johannes Gehrke,https://s.research.com/images/33ec0a00de2b38ae9c1a67fa0f4062a896d70d9e-65x65.jpeg,Microsoft (United States),United States,87,62604,342
604,335,Stuart K. Card,https://s.research.com/images/7cf8548bb805089c6a8bd18a72187de754d8815a-65x65.gif,Stanford University,United States,87,57506,240
605,336,Shafi Goldwasser,https://s.research.com/images/8a3392ad284aaabae141171034c32400ae010e0f-65x65.jpeg,"University of California, Berkeley",United States,87,53181,203
606,337,Ravi Kumar,https://s.research.com/images/5b0d1d5eaa4ac4b7fa322b398c5478fae5360ebb-65x65.jpeg,Google (United States),United States,87,52839,399
607,11,Hugh Durrant-Whyte,https://s.research.com/images/76fb5000ec7818e432bab72c8d6eae48c5956388-65x65.jpeg,University of Sydney,Australia,87,51375,350
608,2,Josef Sivic,https://s.research.com/images/d28e21f3506ff5de59bf2fdc71f93a79af19c310-65x65.jpeg,Czech Technical University in Prague,Czech Republic,87,48762,182
609,74,Ming-Ming Cheng,https://s.research.com/images/9cb723f8dc861b9dbb60bc1470a4a9ccb904f524-65x65.jpeg,Nankai University,China,87,48547,209
610,338,Nancy Lynch,https://s.research.com/images/9bc925b3789d9fbbb859abbb1452134d32842465-65x65.jpeg,MIT,United States,87,45741,472
611,339,Li Da Xu,https://s.research.com/images/9a950fa86216267e0d35165ece4e658f62a7da65-65x65.jpeg,Old Dominion University,United States,87,43089,239
612,340,Narendra Ahuja,https://s.research.com/images/7cb4a4b6afe6cf71599a59b6f25ce052439b8b87-65x65.png,University of Illinois at Urbana-Champaign,United States,87,42886,494
613,5,Maarten de Rijke,https://s.research.com/images/38c954f8158ba3b06cbc3564bdc7c3ad51127706-65x65.jpeg,University of Amsterdam,Netherlands,87,41587,784
614,13,Hui Zhang,https://s.research.com/images/2171ebc1172a51a24104261cc5cbc818d77ccbe4-65x65.jpeg,National University of Singapore,Singapore,87,41065,195
615,341,Tzyy-Ping Jung,https://s.research.com/images/a3c4c93da4122391402b25f6a4b489e1ae14d77c-65x65.jpeg,"University of California, San Diego",United States,87,40655,376
616,37,Sheng Chen,https://s.research.com/images/9a113507c2710f4c7d149b64439029e2e9adb51a-65x65.jpeg,University of Southampton,United Kingdom,87,40057,731
617,342,Andrew T. Campbell,https://s.research.com/images/059533e75b540797adc05b618b5206c1e2c16cec-65x65.jpeg,Dartmouth College,United States,87,39933,331
618,343,Manuela Veloso,https://s.research.com/images/ade4bf500aa3f32c58b73b669392cfd93b5958a9-65x65.jpeg,Carnegie Mellon University,United States,87,39148,715
619,12,Peter Corke,https://s.research.com/images/e2fbccfa8d46b8125df800a411c9d645527b96fe-65x65.jpeg,Queensland University of Technology,Australia,87,37158,528
620,344,Bhaskar Krishnamachari,https://s.research.com/images/093a6427948a3600c382c69b02dd7d347ab6eb9d-65x65.jpeg,University of Southern California,United States,87,36109,479
621,345,Jay F. Nunamaker,https://s.research.com/images/eee2d6ce407b9999356b400bb597c180f88daa03-65x65.png,University of Arizona,United States,87,35802,490
622,75,Hai Jin,https://s.research.com/images/c526ee14b6905a444ca0f62925f461c6818769c6-65x65.jpeg,Huazhong University of Science and Technology,China,87,33652,1613
623,346,Mung Chiang,https://s.research.com/images/08f09ee2ab7fb161d618993e59ae506f0ad66a83-65x65.jpeg,Purdue University West Lafayette,United States,87,33388,479
624,347,Qian Du,https://s.research.com/images/4a6e20183ea17f15b981018d13eef21f6c2f3e51-65x65.jpeg,Mississippi State University,United States,87,32651,597
625,76,Hongyuan Zha,https://s.research.com/images/aa5f6fedaa5319aac2352f3016aed5ec36afdeea-65x65.png,"Chinese University of Hong Kong, Shenzhen",China,87,32573,426
626,348,Thomas Reps,https://s.research.com/images/1ea22e62d7e1a3e2612726f5c165007e73298c15-65x65.jpeg,University of Wisconsin–Madison,United States,87,32521,384
627,349,Sham M. Kakade,https://s.research.com/images/d3895c1c7348ba5ef7fbdbefa56e708ceb2d7258-65x65.jpeg,Harvard University,United States,87,32488,244
628,1,Aboul Ella Hassanien,https://s.research.com/images/a00d77df6ae944bdde15bc18fe51ebe2f3e9d57a-65x65.jpeg,Cairo University,Egypt,87,31848,1110
629,77,Xinbo Gao,https://s.research.com/images/7be55f4df14ed3f0a2e2c0ec84fa5b69e454f963-65x65.jpeg,Chongqing University of Posts and Telecommunications,China,87,31775,813
630,350,James A. Landay,https://s.research.com/images/49e03e638c2493c0bcaae9e9c0362279d1b17256-65x65.jpeg,Stanford University,United States,87,31474,278
631,351,Ramakant Nevatia,https://s.research.com/images/837bd3208fa6515e8f07f51ec064f70ef897f4b5-65x65.jpeg,University of Southern California,United States,87,30682,287
632,352,Dennis Shasha,https://s.research.com/images/68fe13f96329c2e5c24967dcd13bfe4f46c5bb08-65x65.jpeg,New York University,United States,87,30321,496
633,38,Georg Gottlob,https://s.research.com/images/a47733787a08d91b046b4656cbb02829546f468a-65x65.jpeg,University of Oxford,United Kingdom,87,29846,464
634,353,George G. Robertson,https://s.research.com/website/15633335635/images/placeholder-scholar.svg,Microsoft (United States),United States,87,29496,224
635,78,Heng Tao Shen,https://s.research.com/images/137fa1a703801fe3f9622e0ea5f9741f7843b886-65x65.jpeg,University of Electronic Science and Technology of China,China,87,29175,455
636,79,Linglong Dai,https://s.research.com/images/2020f803b1f303d5681d405393d62062ad73b306-65x65.jpeg,Tsinghua University,China,87,28785,335
637,354,Xiang-Gen Xia,https://s.research.com/images/41b61d1d8d568c65fe968f65f7c786a65b43f340-65x65.png,University of Delaware,United States,87,28776,732
638,355,Jeffrey F. Naughton,https://s.research.com/images/98668ae68cf150dd95d5eb688734b93e7c0f4e18-65x65.png,Celonis,United States,87,28388,261
639,356,Moeness G. Amin,https://s.research.com/images/cf0f31067371402a3dee0ecfae141c82bff19fbd-65x65.jpeg,Villanova University,United States,87,28123,833
640,39,Francisco Chiclana,https://s.research.com/images/ed832e89a202aba2b2de9f6d67f5883f33fa9446-65x65.jpeg,De Montfort University,United Kingdom,87,27736,373
641,357,Michael J. Carey,https://s.research.com/images/a6e7b0388338e7888cebff916df9138c7178d2f7-65x65.gif,"University of California, Irvine",United States,87,27255,311
642,3,Erol Gelenbe,https://s.research.com/images/1197df8822084ae2812b099fa417f7cde0768b44-65x65.jpeg,Institute of Theoretical and Applied Informatics,Poland,87,26540,616
643,80,Rong Jin,https://s.research.com/images/f5ceda3e56542c3a1d2b8e373166c02c8845e3e8-65x65.jpeg,Alibaba Group (China),China,87,25632,412
644,81,Ling Wang,https://s.research.com/images/d3dea4c119533c7418d9aa4ca4e94d3ff6c94322-65x65.jpeg,Tsinghua University,China,87,23545,351
645,358,Demetri Terzopoulos,https://s.research.com/images/a99c0c36b0e13dcc98508a8f3fdb4d91c51d10d7-65x65.jpeg,"University of California, Los Angeles",United States,86,72884,362
646,82,Stephen Lin,https://s.research.com/images/3b855f3be45dcb286c2f73f7cf8e745b34a0ee82-65x65.jpeg,Microsoft Research Asia (China),China,86,61802,241
647,359,Neil J. A. Sloane,https://s.research.com/images/f490f71169b2781f16926e8664a712488e00c955-65x65.gif,OEIS Foundation Inc.,United States,86,59773,326
648,40,Yvonne Rogers,https://s.research.com/images/a87557f3109bf4023c3ced84d59c73e2f96c7b76-65x65.jpeg,University College London,United Kingdom,86,54598,365
649,360,Anind K. Dey,https://s.research.com/images/b779c6d58b4cd325ba6f040af91ea802188dd295-65x65.jpeg,University of Washington,United States,86,52555,352
650,361,Ricardo Baeza-Yates,https://s.research.com/images/a1216cffcb7ef1ba4563694d64ccc6caa5c81706-65x65.jpeg,Northeastern University,United States,86,50450,600
651,362,Peter L. Bartlett,https://s.research.com/images/790557d2152fa49e36290343fecd59ced68891f7-65x65.gif,"University of California, Berkeley",United States,86,46652,345
652,6,Fahad Shahbaz Khan,https://s.research.com/images/37570841cdab6889992e4d5eaaef49cc44b40908-65x65.jpeg,Mohamed bin Zayed University of Artificial Intelligence,United Arab Emirates,86,45635,243
653,363,David Forsyth,https://s.research.com/images/bb0ff8e1472d8d7a0b79445a2a3112854eea681c-65x65.png,University of Illinois at Urbana-Champaign,United States,86,45345,319
654,11,Noam Nisan,https://s.research.com/images/7ab3b3692bfff425b99c6617b90c4459dea5acbd-65x65.jpeg,Hebrew University of Jerusalem,Israel,86,39673,240
655,364,Jake K. Aggarwal,https://s.research.com/images/8e25d12aea31c109302af03ba3277049a21da4bc-65x65.jpeg,The University of Texas at Austin,United States,86,39489,473
656,3,Sankar K. Pal,https://s.research.com/images/4e962c82d0a40b511b3e900d28333677ced0f447-65x65.jpeg,Indian Statistical Institute,India,86,37621,539
657,21,Sanja Fidler,https://s.research.com/images/b892899955368cfd777a2858987c5083da018256-65x65.jpeg,University of Toronto,Canada,86,37560,233
658,365,Ed H. Chi,https://s.research.com/images/c8fbe41205ea2e7e7c5f96e2cebee12c2d7d78af-65x65.jpeg,Google (United States),United States,86,37469,345
659,83,Fei-Yue Wang,https://s.research.com/images/199397e8c71c74a2de58ba1bd86603576e49046d-65x65.jpeg,Chinese Academy of Sciences,China,86,37210,743
660,366,Filippo Menczer,https://s.research.com/images/53c67f7ec7a34e92c49a1bcdfa3f5dbe8a4c49df-65x65.png,Indiana University,United States,86,36997,283
661,367,Monica S. Lam,https://s.research.com/images/17c33bce489033c185ac43147b3c2c66be282353-65x65.png,Stanford University,United States,86,35780,221
662,368,Rada Mihalcea,https://s.research.com/website/15633335635/images/placeholder-scholar.svg,University of Michigan–Ann Arbor,United States,86,35680,370
663,369,Kathleen M. Carley,https://s.research.com/images/1956edef36835809f49086926a214bfb26698917-65x65.jpeg,Carnegie Mellon University,United States,86,34924,600
664,370,Edward R. Dougherty,https://s.research.com/images/861ac8d79594ea15c59e911a3c93ccef0780199a-65x65.jpeg,Texas A&M University,United States,86,34473,815
665,2,Chin-Chen Chang,https://s.research.com/images/eb7185dbabfc715c35d51237c46aabe47482f7d8-65x65.jpeg,Feng Chia University,Taiwan,86,33390,1476
666,84,Lei Zhang,https://s.research.com/images/c06bb56b5e5607ead6687c3be3d69318c4d700ec-65x65.jpeg,International Digital Economy Academy,China,86,32963,440
667,6,Sabine Van Huffel,https://s.research.com/images/c46a58551aeeb3aa4c51df9fb1c6c742d5e84cf3-65x65.jpeg,KU Leuven,Belgium,86,32848,900
668,371,Jiliang Tang,https://s.research.com/images/5e48a1a5ee1d5d0e30d10e0d748b026d6b9ce717-65x65.jpeg,Michigan State University,United States,86,32769,321
669,6,Marijn Janssen,https://s.research.com/images/5277b041ccfc72a9d4b983d67e4272c5930d4865-65x65.jpeg,Delft University of Technology,Netherlands,86,31992,615
670,22,Rongxing Lu,https://s.research.com/images/5f5f00632f859ea280d109fe120dc20e798a5a2f-65x65.jpeg,Queen's University,Canada,86,30626,494
671,372,Victor Lesser,https://s.research.com/images/bcfaa31756d7d59265251167286fe393e6f66a5b-65x65.jpeg,University of Massachusetts Amherst,United States,86,30523,442
672,373,Barry Smith,https://s.research.com/images/dbdce1f05b433028fd1ce6b5c7954a196eefce3f-65x65.jpeg,"University at Buffalo, State University of New York",United States,86,30269,429
673,27,Kurt Mehlhorn,https://s.research.com/images/9142c676e9c85123d69bbca245146aaf3e9fb6c4-65x65.jpeg,Max Planck Institute for Informatics,Germany,86,30260,565
674,374,Cynthia Breazeal,https://s.research.com/images/459b57c21eb717620e4cd3c16a4b0f073ff1d86d-65x65.jpeg,MIT,United States,86,30184,320
675,23,Konstantinos N. Plataniotis,https://s.research.com/images/53a5db811a59eb36d634d1a8a36812c3d5832dfc-65x65.jpeg,University of Toronto,Canada,86,28943,724
676,375,Sing Bing Kang,https://s.research.com/images/c0baad35f59865dc261510abf88b6f316f3acf26-65x65.jpeg,Zillow Group (United States),United States,86,27662,313
677,85,Kay Chen Tan,https://s.research.com/images/a9ac4f4d6145fa49ce4f0787d665cc49665d86f1-65x65.jpeg,Hong Kong Polytechnic University,China,86,26120,587
678,14,Nitish V. Thakor,https://s.research.com/images/1db41464ea5fd62263cabfe9e7169ae815bdd275-65x65.png,National University of Singapore,Singapore,86,25262,758
679,86,Yong Xu,https://s.research.com/images/c1285431c75a723a7fe921b98508e2ed83897b52-65x65.jpeg,Harbin Institute of Technology,China,86,25182,402
680,87,Lingyang Song,https://s.research.com/images/544cf16c56de91c03cb131f7b6871e14ac9fe50e-65x65.jpeg,Peking University,China,86,25050,607
681,4,Harish Garg,https://s.research.com/images/b7858cca0f36de122564e0d26a2e4f6110e69318-65x65.jpeg,Thapar University,India,86,23894,464
682,5,Arun Kumar Sangaiah,https://s.research.com/images/3f4e5e8fff79482908f9fc75329c2b2bfeea0bd6-65x65.jpeg,Vellore Institute of Technology University,India,86,22771,520
683,88,Zhigang Zeng,https://s.research.com/images/b48f2837c908132d4e30a029d3c715b0250a856d-65x65.jpeg,Huazhong University of Science and Technology,China,86,22361,507
684,6,Ashok Kumar Das,https://s.research.com/images/ada3389092c4c7d54ad861cb670dd35377a0f56e-65x65.jpeg,"International Institute of Information Technology, Hyderabad",India,86,21047,369
685,376,Fernando Pereira,https://s.research.com/images/7d00de9b6d1efe4d9013315264ba98f037de64bb-65x65.jpeg,Google (United States),United States,85,76018,180
686,9,Jean Ponce,https://s.research.com/images/afdab1d1f45ad002e2a01fc8404389bdd5ea107c-65x65.jpeg,École Normale Supérieure,France,85,67229,289
687,377,Thomas G. Dietterich,https://s.research.com/images/3677b885b9f779608f1d9264a7952b0e564fc39f-65x65.png,Oregon State University,United States,85,64176,314
688,20,Thomas Hofmann,https://s.research.com/images/8940f8e1e9802053df7d1532492d9f21e75fa77b-65x65.jpeg,ETH Zurich,Switzerland,85,56552,389
689,378,Yang Zhang,https://s.research.com/images/35047358d622bdc3b4519d8f1f0afb93a07ea995-65x65.jpeg,University of Michigan–Ann Arbor,United States,85,54716,242
690,379,Benjamin Recht,https://s.research.com/images/c16c37ae1be7070ef8f8515278eb7401f8c86f44-65x65.jpeg,"University of California, Berkeley",United States,85,54222,189
691,380,Ronald Fagin,https://s.research.com/images/4a5c0015cd462a7cd247e3bd593f2a49b01ae26c-65x65.jpeg,IBM (United States),United States,85,50124,207
692,381,Philip A. Bernstein,https://s.research.com/images/72f57147288284382ea0f6df8e3f82e8463216ba-65x65.gif,Microsoft (United States),United States,85,42631,306
693,382,David Wetherall,https://s.research.com/images/8cd6eb6ad7066e107972fe44c6b2cea16ec59b8f-65x65.jpeg,Google (United States),United States,85,40890,179
694,383,Antonio Criminisi,https://s.research.com/images/32c546c08e85789d59b5280b01738392b5c647fe-65x65.jpeg,Microsoft (United States),United States,85,40700,261
695,384,Ari Juels,https://s.research.com/images/be9e52849538c31914df88a84deba97ba34f6644-65x65.jpeg,Cornell University,United States,85,40278,185
696,89,Guang-Zhong Yang,https://s.research.com/images/0d4ee41fee1d8f52b07b7b540801f6e602621141-65x65.png,Shanghai Jiao Tong University,China,85,38106,913
697,385,Peter Brusilovsky,https://s.research.com/images/3ff4df80ec6c80708f33d4d19a67f122f8c20268-65x65.jpeg,University of Pittsburgh,United States,85,37952,580
698,386,Thad Starner,https://s.research.com/images/7ce4c036c125b160d9e4583b9ffb5a7d18c85333-65x65.jpeg,Georgia Institute of Technology,United States,85,36776,409
699,28,Frank Leymann,https://s.research.com/images/424bb1d11295174b3f73b8efa119ad41f34004a2-65x65.jpeg,University of Stuttgart,Germany,85,35203,712
700,387,Mauricio G. C. Resende,https://s.research.com/images/7caa4fe4a9cb594c965d211f111f683958bb4815-65x65.jpeg,University of Washington,United States,85,34768,281
701,388,Pankaj K. Agarwal,https://s.research.com/images/ca0136182a111f776723721d81c70cda8e1cfc81-65x65.jpeg,Duke University,United States,85,34594,475
702,389,Nuno Vasconcelos,https://s.research.com/images/60d1d8d3eba15c8c5ed6f4aa3993efb07dd65016-65x65.jpeg,"University of California, San Diego",United States,85,34580,285
703,12,Yishay Mansour,https://s.research.com/images/29e4ddb69dda12aa3eb384c4681a7964f0739e2a-65x65.jpeg,Tel Aviv University,Israel,85,34488,430
704,390,Shai Halevi,https://s.research.com/images/e7337e936ce39ebdd8318f4fc4342ecf28f3884d-65x65.jpeg,Amazon (United States),United States,85,34457,235
705,391,Gerard Medioni,https://s.research.com/images/3de6daa90398b99e4d077d27b391c9c0f3d9d4c6-65x65.png,Amazon (United States),United States,85,34123,476
706,392,Jim Kurose,https://s.research.com/images/0053295ef5955740b7e0cd8b4c734c90f156e7f1-65x65.png,University of Massachusetts Amherst,United States,85,33501,337
707,90,Yong Rui,https://s.research.com/images/6110b09568c55309fc82516ed5ad5f8481dc3b1d-65x65.jpeg,Lenovo (China),China,85,31968,319
708,91,Shutao Li,https://s.research.com/images/43878abae147be20a89765656550403601ae7aa7-65x65.jpeg,Hunan University,China,85,31917,364
709,4,Maurizio Lenzerini,https://s.research.com/images/cd2dc1706e2f2f34b6fcf564ab824f0c4de4243a-65x65.jpeg,Sapienza University of Rome,Italy,85,31822,365
710,92,Wenwu Zhu,https://s.research.com/images/b25b985b35014f8965e18931c2ea11360b285ca6-65x65.jpeg,Tsinghua University,China,85,30724,502
711,93,Irwin King,https://s.research.com/images/66c19eff8c9cb5ac016bbc5777f24603bedeb883-65x65.jpeg,Chinese University of Hong Kong,China,85,30599,493
712,94,Xiaokang Yang,https://s.research.com/images/2a59403289e6399d2cfbb7994e86845fdef7e348-65x65.jpeg,Shanghai Jiao Tong University,China,85,28239,549
713,95,Lei Chen,https://s.research.com/images/9d7c869f59f88b55d092c2f47e707c59bbbc75f3-65x65.jpeg,Hong Kong University of Science and Technology,China,85,28212,796
714,96,Jieping Ye,https://s.research.com/images/2c7a1980ad6efc926217000997409305fa99ccfb-65x65.jpeg,Alibaba Group (China),China,85,27263,335
715,393,Keshab K. Parhi,https://s.research.com/images/afb16e8a22a521c3b107160f271ccb03731628b9-65x65.jpeg,University of Minnesota,United States,85,26986,793
716,13,Yang Xiang,https://s.research.com/images/54ba8ec9d0969fd959a4ad030e7e5b878c0d190a-65x65.jpeg,Swinburne University of Technology,Australia,85,26341,665
717,394,Erik D. Demaine,https://s.research.com/images/0638310b6ac68e5f8f6247dd596ffa8af6d6e93e-65x65.jpeg,MIT,United States,85,26111,649
718,395,Angelos D. Keromytis,https://s.research.com/images/ba60eb61b2bd175b1befe1993788650048549f39-65x65.jpeg,Georgia Institute of Technology,United States,85,25658,391
